text,label,label_name,cognitive_demand
Create tutorial walkthrough for two-factor auth API integration,4,COMMUNICATION,0.353
Design fault-tolerant gateway with automatic failover and recovery,0,DEEP_WORK,0.86
Coordinate vendor contract renewal for Notion licenses,3,ADMINISTRATIVE,0.26
Rename processItem variable to userProfile across codebase,1,SHALLOW_WORK,0.3
Sketch wireframes for version history mobile experience,2,CREATIVE,0.834
Design interactive cache visualization with animations,2,CREATIVE,0.685
Sketch wireframes for dark mode mobile experience,2,CREATIVE,0.69
Design interactive gateway visualization with animations,2,CREATIVE,0.72
Write technical blog comparing random forest vs alternative approaches,4,COMMUNICATION,0.497
Update CI pipeline to use Node 3.2.1,1,SHALLOW_WORK,0.181
Update logging configuration for staging environment,1,SHALLOW_WORK,0.141
Write formal verification proofs for the reporting safety module,0,DEEP_WORK,1.0
Rename tempVal variable to onEvent across codebase,1,SHALLOW_WORK,0.427
Clean up unused imports in payment files,1,SHALLOW_WORK,0.245
Draft proposal for multi-tenant partnership opportunity,4,COMMUNICATION,0.579
Design immersive auto-save experience with parallax scrolling,2,CREATIVE,0.916
Prepare presentation for all-hands quarterly review,4,COMMUNICATION,0.516
Pin lodash to specific version for stability,1,SHALLOW_WORK,0.119
Design data visualization dashboard for transaction metrics,2,CREATIVE,0.787
Design micro-interactions for inventory hover and focus states,2,CREATIVE,0.795
Write release notes for gateway version 4.0.0,4,COMMUNICATION,0.572
Rename userData variable to transformItem across codebase,1,SHALLOW_WORK,0.194
Design database schema for auto-save with normalization,0,DEEP_WORK,0.686
Debug the race condition crash in the billing service,0,DEEP_WORK,0.757
Audit cache service uptime logs for last month,3,ADMINISTRATIVE,0.416
Record demo video showing collaborative editing new capabilities,4,COMMUNICATION,0.582
Create knowledge base article for export troubleshooting,4,COMMUNICATION,0.372
Write formal verification proofs for the user-profile safety module,0,DEEP_WORK,0.87
Build generative art system for user profile avatars,2,CREATIVE,0.829
Design immersive push notification experience with parallax scrolling,2,CREATIVE,0.543
Prepare presentation for all-hands quarterly review,4,COMMUNICATION,0.45
Update README with new dark mode setup instructions,1,SHALLOW_WORK,0.385
Create motion design for dashboard state transitions,2,CREATIVE,0.615
Design data visualization dashboard for clickstream metrics,2,CREATIVE,0.764
Migrate notification from monolith to microservice architecture,0,DEEP_WORK,0.805
File quarterly financial compliance report,3,ADMINISTRATIVE,0.287
Write blog post about our auto-save technical architecture,4,COMMUNICATION,0.469
Brainstorm innovative solutions for onboarding drop-off user pain point,2,CREATIVE,0.575
Fix typo in architecture documentation page,1,SHALLOW_WORK,0.252
Update project timeline in Asana for Q2 milestones,3,ADMINISTRATIVE,0.321
Build generative art system for user profile avatars,2,CREATIVE,0.793
Pin moment to specific version for stability,1,SHALLOW_WORK,0.224
Create knowledge base article for collaborative editing troubleshooting,4,COMMUNICATION,0.557
Write technical blog comparing dynamic programming vs alternative approaches,4,COMMUNICATION,0.657
Profile and fix memory leak in search under high concurrency,0,DEEP_WORK,0.847
Implement distributed simulated annealing consensus protocol for reporting,0,DEEP_WORK,0.934
Run linter and fix formatting issues in messaging,1,SHALLOW_WORK,0.204
Design gamification system for undo-redo user engagement,2,CREATIVE,0.731
Design award-worthy UI for real-time sync settings panel,2,CREATIVE,0.587
Design award-worthy UI for multi-tenant settings panel,2,CREATIVE,0.574
Run linter and fix formatting issues in auth,1,SHALLOW_WORK,0.232
Build generative art system for user profile avatars,2,CREATIVE,0.886
Design and implement caching strategy for search reducing DB load,0,DEEP_WORK,0.783
Create motion design for payment state transitions,2,CREATIVE,0.764
Update README with new undo-redo setup instructions,1,SHALLOW_WORK,0.009
Design data visualization dashboard for transaction metrics,2,CREATIVE,0.597
Create responsive illustration that adapts to user-profile viewport,2,CREATIVE,0.531
Refactor the payment codebase to use singleton pattern,0,DEEP_WORK,0.89
Design and implement caching strategy for messaging reducing DB load,0,DEEP_WORK,0.822
Update analytics dependency versions in package.json,1,SHALLOW_WORK,0.202
Build real-time NLP corpus processing pipeline with exactly-once semantics,0,DEEP_WORK,0.873
Refactor the messaging codebase to use decorator pattern,0,DEEP_WORK,0.978
Design gamification system for export user engagement,2,CREATIVE,0.621
Debug the segfault crash in the reporting service,0,DEEP_WORK,1.0
Create machine learning feature extraction for log analysis,0,DEEP_WORK,0.768
Debug the timeout crash in the messaging service,0,DEEP_WORK,0.885
Run linter and fix formatting issues in billing,1,SHALLOW_WORK,0.016
Update inventory of development hardware and software assets,3,ADMINISTRATIVE,0.355
Create onboarding checklist for new frontend engineer hire,3,ADMINISTRATIVE,0.347
Review and categorize incoming support tickets for triage,3,ADMINISTRATIVE,0.531
Update getting started JIRA tickets with current sprint status,3,ADMINISTRATIVE,0.344
Draft SOW document for collaborative editing consulting engagement,4,COMMUNICATION,0.36
Design gamification system for multi-tenant user engagement,2,CREATIVE,0.655
Prepare presentation for sprint planning quarterly review,4,COMMUNICATION,0.491
File quarterly security compliance report,3,ADMINISTRATIVE,0.4
Update API version number to 1.12.0,1,SHALLOW_WORK,0.087
Write blog post about our offline-first technical architecture,4,COMMUNICATION,0.479
Write compiler pass for quicksort optimization in the build system,0,DEEP_WORK,0.97
File quarterly financial compliance report,3,ADMINISTRATIVE,0.331
Design award-worthy UI for export settings panel,2,CREATIVE,0.537
Audit user-profile service uptime logs for last month,3,ADMINISTRATIVE,0.323
Design interactive cache visualization with animations,2,CREATIVE,0.593
Process expense reports for October purchases,3,ADMINISTRATIVE,0.376
Compose newsletter update about product launch progress this quarter,4,COMMUNICATION,0.388
Draft SOW document for export consulting engagement,4,COMMUNICATION,0.439
Add input validation for username field in billing form,1,SHALLOW_WORK,0.405
Create internal FAQ document for version history rollout,4,COMMUNICATION,0.627
Schedule architecture meeting with product team,3,ADMINISTRATIVE,0.326
Audit reporting service uptime logs for last month,3,ADMINISTRATIVE,0.55
Sketch wireframes for undo-redo mobile experience,2,CREATIVE,0.899
Write formal verification proofs for the billing safety module,0,DEEP_WORK,0.813
Debug the stack overflow crash in the gateway service,0,DEEP_WORK,0.903
Prototype new dark mode experience using Figma,2,CREATIVE,0.702
Write incident postmortem for the user-profile outage last week,4,COMMUNICATION,0.595
Design immersive dark mode experience with parallax scrolling,2,CREATIVE,0.571
Reply to client feedback about messaging performance issues,4,COMMUNICATION,0.576
Review and approve 8 pending pull requests,3,ADMINISTRATIVE,0.233
Optimize scheduling query performance reducing latency by 50%,0,DEEP_WORK,0.691
Analyze NLP corpus dataset and build regression model,0,DEEP_WORK,0.905
Create brand storytelling narrative for NovaTech campaign,2,CREATIVE,0.577
Archive completed messaging project files and close tickets,3,ADMINISTRATIVE,0.218
Add logging to inventory endpoint,1,SHALLOW_WORK,0.163
Implement A* algorithm for the scheduling module,0,DEEP_WORK,0.791
Add .env.example file with required variables,1,SHALLOW_WORK,0.261
Add environment variable for logging setting,1,SHALLOW_WORK,0.145
Write blog post about our real-time sync technical architecture,4,COMMUNICATION,0.759
Write compelling copy for homepage landing page,2,CREATIVE,0.824
Draft SOW document for two-factor auth consulting engagement,4,COMMUNICATION,0.433
Reply to client feedback about cache performance issues,4,COMMUNICATION,0.531
Create onboarding checklist for new backend engineer hire,3,ADMINISTRATIVE,0.382
Brainstorm innovative solutions for onboarding drop-off user pain point,2,CREATIVE,0.67
Build generative art system for user profile avatars,2,CREATIVE,0.582
Profile and fix memory leak in scheduling under high concurrency,0,DEEP_WORK,0.856
Refactor the auth codebase to use event-driven pattern,0,DEEP_WORK,0.953
Prototype new export experience using Figma,2,CREATIVE,0.499
Implement mTLS authentication flow with token refresh,0,DEEP_WORK,0.855
Write compiler pass for binary search optimization in the build system,0,DEEP_WORK,0.955
Add environment variable for CDN setting,1,SHALLOW_WORK,0.494
Optimize scheduling query performance reducing latency by 50%,0,DEEP_WORK,0.796
Implement custom backpropagation solver for the constraint optimization engine,0,DEEP_WORK,0.927
Create brand storytelling narrative for Zenith campaign,2,CREATIVE,0.659
Create responsive illustration that adapts to reporting viewport,2,CREATIVE,0.703
Write technical specification for undo-redo architecture,0,DEEP_WORK,0.868
Design and implement caching strategy for user-profile reducing DB load,0,DEEP_WORK,0.827
Write incident postmortem for the billing outage last week,4,COMMUNICATION,0.408
Reconcile November budget allocation across departments,3,ADMINISTRATIVE,0.214
File quarterly financial compliance report,3,ADMINISTRATIVE,0.272
Coordinate vendor contract renewal for Notion licenses,3,ADMINISTRATIVE,0.26
Review and categorize incoming support tickets for triage,3,ADMINISTRATIVE,0.18
Add .env.example file with required variables,1,SHALLOW_WORK,0.356
Update migration JIRA tickets with current sprint status,3,ADMINISTRATIVE,0.391
Add environment variable for logging setting,1,SHALLOW_WORK,0.382
Review and update team access permissions in Notion,3,ADMINISTRATIVE,0.464
Review and update team access permissions in Confluence,3,ADMINISTRATIVE,0.454
Write technical specification for push notification architecture,0,DEEP_WORK,0.917
Prepare talking points for stakeholder customer call,4,COMMUNICATION,0.492
Draft email to QA team about Q1 roadmap deadline change,4,COMMUNICATION,0.424
Create responsive illustration that adapts to inventory viewport,2,CREATIVE,0.707
Design fault-tolerant billing with automatic failover and recovery,0,DEEP_WORK,0.881
Clean up unused imports in inventory files,1,SHALLOW_WORK,0.133
Design data visualization dashboard for transaction metrics,2,CREATIVE,0.458
Archive completed messaging project files and close tickets,3,ADMINISTRATIVE,0.263
Create brand storytelling narrative for FlowState campaign,2,CREATIVE,0.687
Implement mTLS authentication flow with token refresh,0,DEEP_WORK,0.953
Migrate messaging from monolith to microservice architecture,0,DEEP_WORK,0.822
Update changelog for version 3.2.1 release,1,SHALLOW_WORK,0.111
Draft press release for collaborative editing product announcement,4,COMMUNICATION,0.506
Write technical specification for dark mode architecture,0,DEEP_WORK,0.856
Storyboard tutorial video for real-time sync walkthrough,2,CREATIVE,0.511
Record podcast episode discussing product launch industry trends,4,COMMUNICATION,0.495
Move utils.py to the inventory directory,1,SHALLOW_WORK,0.075
Audit notification service uptime logs for last month,3,ADMINISTRATIVE,0.329
Compose apology communication regarding search service disruption,4,COMMUNICATION,0.388
Design and implement caching strategy for scheduling reducing DB load,0,DEEP_WORK,0.776
Review and approve 20 pending pull requests,3,ADMINISTRATIVE,0.092
Record podcast episode discussing team restructuring industry trends,4,COMMUNICATION,0.41
Migrate auth from monolith to microservice architecture,0,DEEP_WORK,0.762
Compile weekly status report for product management review,3,ADMINISTRATIVE,0.386
Update getting started JIRA tickets with current sprint status,3,ADMINISTRATIVE,0.513
Implement JWT authentication flow with token refresh,0,DEEP_WORK,0.816
Process expense reports for November purchases,3,ADMINISTRATIVE,0.373
Clean up unused imports in analytics files,1,SHALLOW_WORK,0.358
Create responsive illustration that adapts to scheduling viewport,2,CREATIVE,0.589
Update API version number to 3.2.1,1,SHALLOW_WORK,0.435
Compose original background music for real-time sync meditation mode,2,CREATIVE,0.648
Fix broken link in architecture documentation,1,SHALLOW_WORK,0.23
Move utils.py to the scheduling directory,1,SHALLOW_WORK,0.176
Design micro-interactions for search hover and focus states,2,CREATIVE,0.674
Draft SOW document for export consulting engagement,4,COMMUNICATION,0.569
Compose original background music for multi-tenant meditation mode,2,CREATIVE,0.647
Fix broken link in architecture documentation,1,SHALLOW_WORK,0.293
Create illustration set for migration help center articles,2,CREATIVE,0.754
Design interactive user-profile visualization with animations,2,CREATIVE,0.805
Reply to client feedback about billing performance issues,4,COMMUNICATION,0.628
Profile and fix memory leak in analytics under high concurrency,0,DEEP_WORK,0.978
Write RFP response for scheduling enterprise contract,4,COMMUNICATION,0.602
Implement JWT authentication flow with token refresh,0,DEEP_WORK,0.853
Design interactive search visualization with animations,2,CREATIVE,0.779
Implement custom genetic solver for the constraint optimization engine,0,DEEP_WORK,0.852
Create internal FAQ document for multi-tenant rollout,4,COMMUNICATION,0.5
Compose newsletter update about Q1 roadmap progress this quarter,4,COMMUNICATION,0.662
Create knowledge base article for two-factor auth troubleshooting,4,COMMUNICATION,0.424
Prepare slide deck for retrospective stakeholder presentation,3,ADMINISTRATIVE,0.448
Design micro-interactions for billing hover and focus states,2,CREATIVE,0.722
Update README with new export setup instructions,1,SHALLOW_WORK,0.143
Update inventory of development hardware and software assets,3,ADMINISTRATIVE,0.293
Create brand storytelling narrative for FlowState campaign,2,CREATIVE,0.646
Create onboarding documentation for messaging SDK users,4,COMMUNICATION,0.384
Add environment variable for redis setting,1,SHALLOW_WORK,0.21
Plan and book travel for upcoming architecture conference,3,ADMINISTRATIVE,0.441
Update S3 configuration for staging environment,1,SHALLOW_WORK,0.259
Implement OAuth 2.0 authentication flow with token refresh,0,DEEP_WORK,1.0
Compose original background music for auto-save meditation mode,2,CREATIVE,0.84
Profile and fix memory leak in notification under high concurrency,0,DEEP_WORK,0.875
Create visual identity for NovaTech product launch,2,CREATIVE,0.537
Review and update team access permissions in Linear,3,ADMINISTRATIVE,0.475
Refactor the cache codebase to use singleton pattern,0,DEEP_WORK,0.896
Build generative art system for user profile avatars,2,CREATIVE,0.572
Write RFP response for payment enterprise contract,4,COMMUNICATION,0.529
Design gamification system for collaborative editing user engagement,2,CREATIVE,0.49
Reply to client feedback about search performance issues,4,COMMUNICATION,0.454
Storyboard tutorial video for real-time sync walkthrough,2,CREATIVE,0.693
Draft proposal for real-time sync partnership opportunity,4,COMMUNICATION,0.56
Write compelling copy for pricing landing page,2,CREATIVE,0.857
Archive completed messaging project files and close tickets,3,ADMINISTRATIVE,0.436
Compose original background music for export meditation mode,2,CREATIVE,0.817
Create brand storytelling narrative for NovaTech campaign,2,CREATIVE,0.68
Run linter and fix formatting issues in analytics,1,SHALLOW_WORK,0.338
Design database schema for collaborative editing with normalization,0,DEEP_WORK,0.988
Prepare presentation for 1-on-1 quarterly review,4,COMMUNICATION,0.481
Update API version number to 2.8.0,1,SHALLOW_WORK,0.132
Analyze genomic dataset and build regression model,0,DEEP_WORK,0.754
Create tutorial walkthrough for push notification API integration,4,COMMUNICATION,0.537
Write compelling copy for features landing page,2,CREATIVE,0.849
Archive completed dashboard project files and close tickets,3,ADMINISTRATIVE,0.133
Update reporting dependency versions in package.json,1,SHALLOW_WORK,0.312
Design gamification system for auto-save user engagement,2,CREATIVE,0.592
Draft SOW document for real-time sync consulting engagement,4,COMMUNICATION,0.31
Build data pipeline for processing log in real-time,0,DEEP_WORK,0.839
Rename handleEvent variable to userProfile across codebase,1,SHALLOW_WORK,0.432
Fix typo in migration documentation page,1,SHALLOW_WORK,0.045
Draft proposal for push notification partnership opportunity,4,COMMUNICATION,0.408
Archive completed cache project files and close tickets,3,ADMINISTRATIVE,0.206
Write blog post about our version history technical architecture,4,COMMUNICATION,0.693
Update CI pipeline to use Node 1.12.0,1,SHALLOW_WORK,0.411
Design new onboarding flow for first-time student users,2,CREATIVE,0.726
Move helpers.js to the auth directory,1,SHALLOW_WORK,0.184
Migrate gateway from monolith to microservice architecture,0,DEEP_WORK,0.853
Write compelling copy for features landing page,2,CREATIVE,0.812
Implement custom dynamic programming solver for the constraint optimization engine,0,DEEP_WORK,0.87
Refactor the analytics codebase to use hexagonal pattern,0,DEEP_WORK,0.793
Fix typo in getting started documentation page,1,SHALLOW_WORK,0.313
Prepare presentation for design review quarterly review,4,COMMUNICATION,0.73
Move utils.py to the notification directory,1,SHALLOW_WORK,0.197
Create illustration set for getting started help center articles,2,CREATIVE,0.699
Schedule retrospective meeting with product team,3,ADMINISTRATIVE,0.235
Write RFP response for inventory enterprise contract,4,COMMUNICATION,0.601
Design data visualization dashboard for clickstream metrics,2,CREATIVE,0.574
Update API version number to 4.0.0,1,SHALLOW_WORK,0.325
Prepare slide deck for stakeholder stakeholder presentation,3,ADMINISTRATIVE,0.481
Move types.d.ts to the billing directory,1,SHALLOW_WORK,0.045
Prototype new undo-redo experience using Figma,2,CREATIVE,0.764
Pin lodash to specific version for stability,1,SHALLOW_WORK,0.215
Add input validation for email field in analytics form,1,SHALLOW_WORK,0.214
Add missing type annotations to notification module,1,SHALLOW_WORK,0.22
Write incident postmortem for the reporting outage last week,4,COMMUNICATION,0.459
Create onboarding documentation for auth SDK users,4,COMMUNICATION,0.335
Schedule design review meeting with marketing team,3,ADMINISTRATIVE,0.145
Create internal FAQ document for push notification rollout,4,COMMUNICATION,0.603
Update cache dependency versions in package.json,1,SHALLOW_WORK,0.165
Add logging to inventory endpoint,1,SHALLOW_WORK,0.265
Update changelog for version 3.2.1 release,1,SHALLOW_WORK,0.145
Build generative art system for user profile avatars,2,CREATIVE,0.818
Compose newsletter update about performance optimization progress this quarter,4,COMMUNICATION,0.571
Design interactive gateway visualization with animations,2,CREATIVE,0.561
Write blog post about our collaborative editing technical architecture,4,COMMUNICATION,0.631
Design immersive multi-tenant experience with parallax scrolling,2,CREATIVE,0.726
Update messaging dependency versions in package.json,1,SHALLOW_WORK,0.29
Update team roster and contact information in HR system,3,ADMINISTRATIVE,0.523
Create onboarding documentation for inventory SDK users,4,COMMUNICATION,0.577
Build generative art system for user profile avatars,2,CREATIVE,0.81
Update inventory of development hardware and software assets,3,ADMINISTRATIVE,0.426
Fix typo in architecture documentation page,1,SHALLOW_WORK,0.167
Write compelling copy for homepage landing page,2,CREATIVE,0.584
Prepare talking points for stakeholder customer call,4,COMMUNICATION,0.429
Add environment variable for logging setting,1,SHALLOW_WORK,0.13
Update payment dependency versions in package.json,1,SHALLOW_WORK,0.323
Create typography system for Luminary design language,2,CREATIVE,0.764
Compose apology communication regarding analytics service disruption,4,COMMUNICATION,0.44
Rename tempVal variable to onEvent across codebase,1,SHALLOW_WORK,0.343
Update changelog for version 5.1.0 release,1,SHALLOW_WORK,0.236
Design micro-interactions for gateway hover and focus states,2,CREATIVE,0.785
Record podcast episode discussing performance optimization industry trends,4,COMMUNICATION,0.443
Record demo video showing export new capabilities,4,COMMUNICATION,0.399
Design database schema for export with normalization,0,DEEP_WORK,0.824
Write compiler pass for dynamic programming optimization in the build system,0,DEEP_WORK,0.826
Design database schema for export with normalization,0,DEEP_WORK,0.655
Prepare talking points for 1-on-1 customer call,4,COMMUNICATION,0.657
Add missing type annotations to scheduling module,1,SHALLOW_WORK,0.397
Create responsive illustration that adapts to messaging viewport,2,CREATIVE,0.634
Build real-time time-series processing pipeline with exactly-once semantics,0,DEEP_WORK,0.751
Write blog post about our real-time sync technical architecture,4,COMMUNICATION,0.521
Update architecture JIRA tickets with current sprint status,3,ADMINISTRATIVE,0.42
Build data pipeline for processing log in real-time,0,DEEP_WORK,0.766
Write unit tests for the scheduling engine covering edge cases,0,DEEP_WORK,0.844
Create knowledge base article for export troubleshooting,4,COMMUNICATION,0.77
Run linter and fix formatting issues in scheduling,1,SHALLOW_WORK,0.401
Review and categorize incoming support tickets for triage,3,ADMINISTRATIVE,0.576
Review and categorize incoming support tickets for triage,3,ADMINISTRATIVE,0.326
Create responsive illustration that adapts to payment viewport,2,CREATIVE,0.788
Create internal FAQ document for two-factor auth rollout,4,COMMUNICATION,0.334
Add input validation for email field in messaging form,1,SHALLOW_WORK,0.201
Draft press release for push notification product announcement,4,COMMUNICATION,0.416
Prepare talking points for 1-on-1 customer call,4,COMMUNICATION,0.422
Process expense reports for October purchases,3,ADMINISTRATIVE,0.348
Design micro-interactions for analytics hover and focus states,2,CREATIVE,0.564
Compose apology communication regarding messaging service disruption,4,COMMUNICATION,0.498
Archive completed payment project files and close tickets,3,ADMINISTRATIVE,0.335
Update changelog for version 3.2.1 release,1,SHALLOW_WORK,0.404
Create onboarding checklist for new frontend engineer hire,3,ADMINISTRATIVE,0.225
Design data visualization dashboard for clickstream metrics,2,CREATIVE,0.851
Update team roster and contact information in HR system,3,ADMINISTRATIVE,0.464
Debug the segfault crash in the search service,0,DEEP_WORK,0.93
Schedule all-hands meeting with QA team,3,ADMINISTRATIVE,0.351
Brainstorm innovative solutions for accessibility user pain point,2,CREATIVE,0.774
Write incident postmortem for the analytics outage last week,4,COMMUNICATION,0.45
Add .env.example file with required variables,1,SHALLOW_WORK,0.324
Write formal verification proofs for the inventory safety module,0,DEEP_WORK,0.687
Create typography system for FlowState design language,2,CREATIVE,0.505
Fix typo in migration documentation page,1,SHALLOW_WORK,0.254
Draft email to engineering team about team restructuring deadline change,4,COMMUNICATION,0.459
Run linter and fix formatting issues in payment,1,SHALLOW_WORK,0.315
Implement JWT authentication flow with token refresh,0,DEEP_WORK,0.852
Optimize notification query performance reducing latency by 50%,0,DEEP_WORK,0.994
Add .env.example file with required variables,1,SHALLOW_WORK,0.294
Migrate analytics from monolith to microservice architecture,0,DEEP_WORK,0.858
Compose newsletter update about security audit progress this quarter,4,COMMUNICATION,0.489
Design database schema for undo-redo with normalization,0,DEEP_WORK,0.723
Move helpers.js to the analytics directory,1,SHALLOW_WORK,0.145
Write incident postmortem for the payment outage last week,4,COMMUNICATION,0.394
Design gamification system for undo-redo user engagement,2,CREATIVE,0.654
Create typography system for Luminary design language,2,CREATIVE,0.775
Add environment variable for CDN setting,1,SHALLOW_WORK,0.153
Write compelling copy for homepage landing page,2,CREATIVE,0.64
Migrate cache from monolith to microservice architecture,0,DEEP_WORK,0.83
Implement OAuth 2.0 authentication flow with token refresh,0,DEEP_WORK,0.907
Draft email to marketing team about infrastructure migration deadline change,4,COMMUNICATION,0.595
Write technical blog comparing A* vs alternative approaches,4,COMMUNICATION,0.593
Review and approve 15 pending pull requests,3,ADMINISTRATIVE,0.307
Draft email to engineering team about security audit deadline change,4,COMMUNICATION,0.506
Implement gradient descent algorithm for the reporting module,0,DEEP_WORK,0.974
Implement distributed dynamic programming consensus protocol for cache,0,DEEP_WORK,0.856
Update contributing JIRA tickets with current sprint status,3,ADMINISTRATIVE,0.174
Update team roster and contact information in HR system,3,ADMINISTRATIVE,0.525
Review and approve 6 pending pull requests,3,ADMINISTRATIVE,0.392
Process expense reports for February purchases,3,ADMINISTRATIVE,0.589
Pin lodash to specific version for stability,1,SHALLOW_WORK,0.141
Build data pipeline for processing genomic in real-time,0,DEEP_WORK,0.966
Coordinate vendor contract renewal for Notion licenses,3,ADMINISTRATIVE,0.492
Update project timeline in GitHub for Q3 milestones,3,ADMINISTRATIVE,0.421
Create brand storytelling narrative for Zenith campaign,2,CREATIVE,0.914
Write technical specification for export architecture,0,DEEP_WORK,0.961
Design micro-interactions for analytics hover and focus states,2,CREATIVE,0.731
Write technical blog comparing quicksort vs alternative approaches,4,COMMUNICATION,0.452
Clean up unused imports in inventory files,1,SHALLOW_WORK,0.376
Implement simulated annealing algorithm for the messaging module,0,DEEP_WORK,0.879
Fix broken link in getting started documentation,1,SHALLOW_WORK,0.209
Record podcast episode discussing security audit industry trends,4,COMMUNICATION,0.401
Design immersive export experience with parallax scrolling,2,CREATIVE,0.555
Archive completed inventory project files and close tickets,3,ADMINISTRATIVE,0.479
Compose apology communication regarding payment service disruption,4,COMMUNICATION,0.341
Write unit tests for the scheduling engine covering edge cases,0,DEEP_WORK,0.801
Review and categorize incoming support tickets for triage,3,ADMINISTRATIVE,0.18
Archive completed dashboard project files and close tickets,3,ADMINISTRATIVE,0.416
Record demo video showing export new capabilities,4,COMMUNICATION,0.892
Record podcast episode discussing product launch industry trends,4,COMMUNICATION,0.605
Document standard operating procedures for incident response workflow,3,ADMINISTRATIVE,0.404
Organize team standup notes from this week,3,ADMINISTRATIVE,0.447
Design immersive push notification experience with parallax scrolling,2,CREATIVE,0.401
Rename tempVal variable to onEvent across codebase,1,SHALLOW_WORK,0.178
Update contributing JIRA tickets with current sprint status,3,ADMINISTRATIVE,0.261
Write formal verification proofs for the notification safety module,0,DEEP_WORK,0.762
Update database configuration for staging environment,1,SHALLOW_WORK,0.092
Design award-worthy UI for multi-tenant settings panel,2,CREATIVE,0.653
Implement distributed k-means consensus protocol for reporting,0,DEEP_WORK,0.952
Rename handleEvent variable to intermediateValue across codebase,1,SHALLOW_WORK,0.232
Build real-time clickstream processing pipeline with exactly-once semantics,0,DEEP_WORK,0.878
Add default value for date_of_birth in analytics model,1,SHALLOW_WORK,0.299
Build data pipeline for processing log in real-time,0,DEEP_WORK,0.866
Write incident postmortem for the inventory outage last week,4,COMMUNICATION,0.402
Design immersive collaborative editing experience with parallax scrolling,2,CREATIVE,0.342
Compose original background music for real-time sync meditation mode,2,CREATIVE,0.656
Review and categorize incoming support tickets for triage,3,ADMINISTRATIVE,0.255
Prepare talking points for design review customer call,4,COMMUNICATION,0.515
Storyboard tutorial video for offline-first walkthrough,2,CREATIVE,0.497
Update inventory of development hardware and software assets,3,ADMINISTRATIVE,0.368
Create illustration set for deployment help center articles,2,CREATIVE,0.869
Create motion design for search state transitions,2,CREATIVE,0.827
Review and update team access permissions in GitHub,3,ADMINISTRATIVE,0.595
Design award-worthy UI for multi-tenant settings panel,2,CREATIVE,0.762
Document standard operating procedures for code review workflow,3,ADMINISTRATIVE,0.266
Write RFP response for billing enterprise contract,4,COMMUNICATION,0.39
Pin webpack to specific version for stability,1,SHALLOW_WORK,0.18
Design gamification system for push notification user engagement,2,CREATIVE,0.905
Create brand storytelling narrative for Zenith campaign,2,CREATIVE,0.603
Draft email to product team about infrastructure migration deadline change,4,COMMUNICATION,0.558
Debug the race condition crash in the notification service,0,DEEP_WORK,0.88
Write unit tests for the scheduling engine covering edge cases,0,DEEP_WORK,0.95
Add environment variable for S3 setting,1,SHALLOW_WORK,0.362
Add logging to payment endpoint,1,SHALLOW_WORK,0.293
Design fault-tolerant gateway with automatic failover and recovery,0,DEEP_WORK,0.816
Debug the race condition crash in the scheduling service,0,DEEP_WORK,0.935
Prepare slide deck for architecture stakeholder presentation,3,ADMINISTRATIVE,0.107
Write compiler pass for quicksort optimization in the build system,0,DEEP_WORK,0.723
Refactor the inventory codebase to use hexagonal pattern,0,DEEP_WORK,0.945
Audit search service uptime logs for last month,3,ADMINISTRATIVE,0.471
Brainstorm innovative solutions for accessibility user pain point,2,CREATIVE,0.602
Plan and book travel for upcoming architecture conference,3,ADMINISTRATIVE,0.365
Write technical specification for auto-save architecture,0,DEEP_WORK,0.807
Create onboarding checklist for new designer hire,3,ADMINISTRATIVE,0.263
Create typography system for Luminary design language,2,CREATIVE,0.54
Add .env.example file with required variables,1,SHALLOW_WORK,0.247
Storyboard tutorial video for version history walkthrough,2,CREATIVE,0.57
Create brand storytelling narrative for AuraSync campaign,2,CREATIVE,0.501
Add logging to inventory endpoint,1,SHALLOW_WORK,0.16
Reply to client feedback about scheduling performance issues,4,COMMUNICATION,0.586
Run linter and fix formatting issues in notification,1,SHALLOW_WORK,0.248
Write release notes for user-profile version 3.2.1,4,COMMUNICATION,0.485
Design and implement caching strategy for messaging reducing DB load,0,DEEP_WORK,0.978
Design micro-interactions for auth hover and focus states,2,CREATIVE,0.714
Write blog post about our push notification technical architecture,4,COMMUNICATION,0.682
Document standard operating procedures for incident response workflow,3,ADMINISTRATIVE,0.318
Reconcile February budget allocation across departments,3,ADMINISTRATIVE,0.306
Design award-worthy UI for multi-tenant settings panel,2,CREATIVE,0.491
Rename handleEvent variable to userProfile across codebase,1,SHALLOW_WORK,0.341
Implement custom gradient descent solver for the constraint optimization engine,0,DEEP_WORK,0.867
Rename handleEvent variable to userProfile across codebase,1,SHALLOW_WORK,0.258
Create motion design for dashboard state transitions,2,CREATIVE,0.831
Fix broken link in deployment documentation,1,SHALLOW_WORK,0.517
Create tutorial walkthrough for auto-save API integration,4,COMMUNICATION,0.33
Write RFP response for billing enterprise contract,4,COMMUNICATION,0.588
Analyze log dataset and build regression model,0,DEEP_WORK,0.831
Update team roster and contact information in HR system,3,ADMINISTRATIVE,0.383
Clean up unused imports in notification files,1,SHALLOW_WORK,0.355
Create visual identity for FlowState product launch,2,CREATIVE,0.781
Process expense reports for October purchases,3,ADMINISTRATIVE,0.411
Write compiler pass for backpropagation optimization in the build system,0,DEEP_WORK,0.856
Create brand storytelling narrative for Zenith campaign,2,CREATIVE,0.723
Audit gateway service uptime logs for last month,3,ADMINISTRATIVE,0.311
